Abbreviation,SchoolID,MasterSchoolID,StudentID,SSID,TestDate,TestType,TestPeriod,TestSubjectGroup,TestSubject,TestGrade,TestName,TestScoreType,AssessmentName,RawScore,ScaleScore
Oscar De La Hoya Animo Charter High,,,,2768385262,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,575.0,575.0
Oscar De La Hoya Animo Charter High,,,,6469349782,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,584.0,584.0
Oscar De La Hoya Animo Charter High,,,,6935227356,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,623.0,623.0
Oscar De La Hoya Animo Charter High,,,,8328649904,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,592.0,592.0
Oscar De La Hoya Animo Charter High,,,,1516218017,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,588.0,588.0
Animo Ellen Ochoa Charter Middle,,,,2015841071,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,379.0,379.0
Oscar De La Hoya Animo Charter High,,,,6597248073,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,585.0,585.0
Oscar De La Hoya Animo Charter High,,,,7997095214,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,613.0,613.0
Oscar De La Hoya Animo Charter High,,,,5438890012,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,590.0,590.0
Oscar De La Hoya Animo Charter High,,,,9358414334,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,573.0,573.0
Oscar De La Hoya Animo Charter High,,,,9551212727,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,609.0,609.0
Animo Ellen Ochoa Charter Middle,,,,3277265488,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,399.0,399.0
Oscar De La Hoya Animo Charter High,,,,9467768744,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,597.0,597.0
Oscar De La Hoya Animo Charter High,,,,1047903322,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,602.0,602.0
Oscar De La Hoya Animo Charter High,,,,4134680842,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,630.0,630.0
Oscar De La Hoya Animo Charter High,,,,8166229986,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,596.0,596.0
Oscar De La Hoya Animo Charter High,,,,2938096563,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,596.0,596.0
Oscar De La Hoya Animo Charter High,,,,8350570877,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,578.0,578.0
Animo Ellen Ochoa Charter Middle,,,,1671847716,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,372.0,372.0
Oscar De La Hoya Animo Charter High,,,,8632198337,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,573.0,573.0
Oscar De La Hoya Animo Charter High,,,,9406401772,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,608.0,608.0
Oscar De La Hoya Animo Charter High,,,,6175017990,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,596.0,596.0
Oscar De La Hoya Animo Charter High,,,,2767348517,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,567.0,567.0
Oscar De La Hoya Animo Charter High,,,,2477590143,2024-02-29,CAST,,Science,Science- Overall,12,CAST-Overall,,Grade 12 CAST,597.0,597.0
Oscar De La Hoya Animo Charter High,,,,5081875301,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,594.0,594.0
Oscar De La Hoya Animo Charter High,,,,1574076420,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,571.0,571.0
Oscar De La Hoya Animo Charter High,,,,6277302527,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,577.0,577.0
Animo Ellen Ochoa Charter Middle,,,,8501811660,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,396.0,396.0
Animo Ellen Ochoa Charter Middle,,,,4225908655,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,370.0,370.0
Oscar De La Hoya Animo Charter High,,,,7572719946,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,572.0,572.0
Oscar De La Hoya Animo Charter High,,,,3656052270,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,626.0,626.0
Animo Ellen Ochoa Charter Middle,,,,8312014889,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,367.0,367.0
Oscar De La Hoya Animo Charter High,,,,6914477272,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,581.0,581.0
Oscar De La Hoya Animo Charter High,,,,4178969910,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,584.0,584.0
Oscar De La Hoya Animo Charter High,,,,3558717731,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,571.0,571.0
Oscar De La Hoya Animo Charter High,,,,6069746057,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,581.0,581.0
Oscar De La Hoya Animo Charter High,,,,9312982165,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,587.0,587.0
Oscar De La Hoya Animo Charter High,,,,9090968962,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,595.0,595.0
Oscar De La Hoya Animo Charter High,,,,9401360117,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,610.0,610.0
Oscar De La Hoya Animo Charter High,,,,2341138893,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,571.0,571.0
Oscar De La Hoya Animo Charter High,,,,2670558063,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,593.0,593.0
Oscar De La Hoya Animo Charter High,,,,2416003255,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,591.0,591.0
Oscar De La Hoya Animo Charter High,,,,6046443731,2024-02-29,CAST,,Science,Science- Overall,12,CAST-Overall,,Grade 12 CAST,600.0,600.0
Animo Ellen Ochoa Charter Middle,,,,2285401836,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,,
Oscar De La Hoya Animo Charter High,,,,7798514477,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,589.0,589.0
Oscar De La Hoya Animo Charter High,,,,9394326652,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,614.0,614.0
Animo Ellen Ochoa Charter Middle,,,,8079076855,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,394.0,394.0
Oscar De La Hoya Animo Charter High,,,,2908808291,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,587.0,587.0
Animo Ellen Ochoa Charter Middle,,,,9573081028,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,403.0,403.0
Oscar De La Hoya Animo Charter High,,,,5749614764,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,572.0,572.0
Oscar De La Hoya Animo Charter High,,,,7257908452,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,585.0,585.0
Oscar De La Hoya Animo Charter High,,,,1190865385,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,581.0,581.0
Animo South Los Angeles Charter,,,,7524937236,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,597.0,597.0
Animo South Los Angeles Charter,,,,6967423890,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,636.0,636.0
Animo Legacy Charter Middle,,,,1090363487,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,372.0,372.0
Animo South Los Angeles Charter,,,,5214998272,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,578.0,578.0
Animo Legacy Charter Middle,,,,6591092308,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,365.0,365.0
Animo South Los Angeles Charter,,,,3501392196,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,585.0,585.0
Animo Legacy Charter Middle,,,,7744197767,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,375.0,375.0
Animo South Los Angeles Charter,,,,5342704356,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,604.0,604.0
Animo Legacy Charter Middle,,,,7007397625,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,406.0,406.0
Animo South Los Angeles Charter,,,,7210497611,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,600.0,600.0
Animo South Los Angeles Charter,,,,7594583837,2024-02-29,CAST,,Science,Science- Overall,12,CAST-Overall,,Grade 12 CAST,614.0,614.0
Animo South Los Angeles Charter,,,,2158710838,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,587.0,587.0
Animo South Los Angeles Charter,,,,1197800190,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,609.0,609.0
Animo Legacy Charter Middle,,,,6921232727,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,386.0,386.0
Animo Legacy Charter Middle,,,,8117785596,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,396.0,396.0
Animo Legacy Charter Middle,,,,3163852260,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,361.0,361.0
Animo South Los Angeles Charter,,,,5187862596,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,577.0,577.0
Animo South Los Angeles Charter,,,,3974051542,2024-02-29,CAST,,Science,Science- Overall,11,CAST-Overall,,Grade 11 CAST,618.0,618.0
Animo Legacy Charter Middle,,,,4303265354,2024-02-29,CAST,,Science,Science- Overall,8,CAST-Overall,,Grade 8 CAST,400.0,400.0
