Abbreviation,SchoolID,MasterSchoolID,StudentID,SSID,TestDate,TestType,TestPeriod,TestSubjectGroup,TestSubject,TestGrade,TestName,TestScoreType,AssessmentName,RawScore,ScaleScore
Animo Ellen Ochoa Charter Middle,,,,4414607278,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2720.0,2720.0
Animo Ellen Ochoa Charter Middle,,,,7262472363,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2436.0,2436.0
Oscar De La Hoya Animo Charter High,,,,8486278356,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2390.0,2390.0
Oscar De La Hoya Animo Charter High,,,,8486278356,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2460.0,2460.0
Oscar De La Hoya Animo Charter High,,,,2386978391,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2818.0,2818.0
Oscar De La Hoya Animo Charter High,,,,4238612267,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2484.0,2484.0
Oscar De La Hoya Animo Charter High,,,,4075048067,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2623.0,2623.0
Animo Ellen Ochoa Charter Middle,,,,8491078484,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2465.0,2465.0
Animo Ellen Ochoa Charter Middle,,,,8491078484,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2385.0,2385.0
Animo Ellen Ochoa Charter Middle,,,,2387219040,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2642.0,2642.0
Animo Ellen Ochoa Charter Middle,,,,5265218327,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,,
Animo Ellen Ochoa Charter Middle,,,,2387219040,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2548.0,2548.0
Oscar De La Hoya Animo Charter High,,,,2467097201,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2363.0,2363.0
Animo Ellen Ochoa Charter Middle,,,,3680068443,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2516.0,2516.0
Animo Ellen Ochoa Charter Middle,,,,5218533707,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2631.0,2631.0
Animo Ellen Ochoa Charter Middle,,,,5218533707,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2474.0,2474.0
Oscar De La Hoya Animo Charter High,,,,9797668018,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2538.0,2538.0
Animo Ellen Ochoa Charter Middle,,,,5423460052,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2609.0,2609.0
Animo Ellen Ochoa Charter Middle,,,,2403780467,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2516.0,2516.0
Oscar De La Hoya Animo Charter High,,,,4238612267,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2581.0,2581.0
Oscar De La Hoya Animo Charter High,,,,8599139201,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2698.0,2698.0
Oscar De La Hoya Animo Charter High,,,,6487431085,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2363.0,2363.0
Oscar De La Hoya Animo Charter High,,,,6104174040,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2468.0,2468.0
Animo Ellen Ochoa Charter Middle,,,,5300613077,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2428.0,2428.0
Animo Ellen Ochoa Charter Middle,,,,4596355787,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2611.0,2611.0
Oscar De La Hoya Animo Charter High,,,,9128157028,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2493.0,2493.0
Animo Ellen Ochoa Charter Middle,,,,7518437932,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2352.0,2352.0
Oscar De La Hoya Animo Charter High,,,,5180698528,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2709.0,2709.0
Oscar De La Hoya Animo Charter High,,,,9448919245,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2488.0,2488.0
Oscar De La Hoya Animo Charter High,,,,4075048067,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2500.0,2500.0
Oscar De La Hoya Animo Charter High,,,,7364051471,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2599.0,2599.0
Oscar De La Hoya Animo Charter High,,,,8675843466,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2558.0,2558.0
Oscar De La Hoya Animo Charter High,,,,6487431085,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2462.0,2462.0
Oscar De La Hoya Animo Charter High,,,,6104174040,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2446.0,2446.0
Oscar De La Hoya Animo Charter High,,,,8599139201,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2577.0,2577.0
Oscar De La Hoya Animo Charter High,,,,4332685915,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2386.0,2386.0
Animo Ellen Ochoa Charter Middle,,,,4414607278,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2713.0,2713.0
Oscar De La Hoya Animo Charter High,,,,6647025802,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2541.0,2541.0
Oscar De La Hoya Animo Charter High,,,,1930980565,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2528.0,2528.0
Animo Ellen Ochoa Charter Middle,,,,5265218327,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2391.0,2391.0
Oscar De La Hoya Animo Charter High,,,,7696011960,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2317.0,2317.0
Oscar De La Hoya Animo Charter High,,,,5028759641,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2575.0,2575.0
Oscar De La Hoya Animo Charter High,,,,8139036521,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2368.0,2368.0
Oscar De La Hoya Animo Charter High,,,,9797668018,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2539.0,2539.0
Oscar De La Hoya Animo Charter High,,,,5361436146,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2587.0,2587.0
Oscar De La Hoya Animo Charter High,,,,1334663278,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2343.0,2343.0
Oscar De La Hoya Animo Charter High,,,,1473979307,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2540.0,2540.0
Oscar De La Hoya Animo Charter High,,,,9778294675,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2646.0,2646.0
Oscar De La Hoya Animo Charter High,,,,5919244571,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2280.0,2280.0
Animo Ellen Ochoa Charter Middle,,,,6335186905,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2521.0,2521.0
Oscar De La Hoya Animo Charter High,,,,1559650656,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2456.0,2456.0
Oscar De La Hoya Animo Charter High,,,,5180698528,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2542.0,2542.0
Oscar De La Hoya Animo Charter High,,,,1559650656,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2534.0,2534.0
Animo Ellen Ochoa Charter Middle,,,,7518437932,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2366.0,2366.0
Oscar De La Hoya Animo Charter High,,,,8675843466,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2575.0,2575.0
Oscar De La Hoya Animo Charter High,,,,4332685915,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2582.0,2582.0
Oscar De La Hoya Animo Charter High,,,,4613084842,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2477.0,2477.0
Oscar De La Hoya Animo Charter High,,,,6039104736,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2736.0,2736.0
Oscar De La Hoya Animo Charter High,,,,6039104736,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2629.0,2629.0
Oscar De La Hoya Animo Charter High,,,,4613084842,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2558.0,2558.0
Animo Ellen Ochoa Charter Middle,,,,4596355787,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2316.0,2316.0
Oscar De La Hoya Animo Charter High,,,,8273553614,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2604.0,2604.0
Oscar De La Hoya Animo Charter High,,,,4192698227,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2411.0,2411.0
Oscar De La Hoya Animo Charter High,,,,4192698227,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2498.0,2498.0
Animo Ellen Ochoa Charter Middle,,,,6410427243,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2461.0,2461.0
Oscar De La Hoya Animo Charter High,,,,7696011960,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2540.0,2540.0
Oscar De La Hoya Animo Charter High,,,,5028759641,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2498.0,2498.0
Oscar De La Hoya Animo Charter High,,,,1473979307,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2536.0,2536.0
Oscar De La Hoya Animo Charter High,,,,5361436146,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2631.0,2631.0
Oscar De La Hoya Animo Charter High,,,,7148449405,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2280.0,2280.0
Oscar De La Hoya Animo Charter High,,,,7699834732,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2669.0,2669.0
Oscar De La Hoya Animo Charter High,,,,8144234673,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2539.0,2539.0
Oscar De La Hoya Animo Charter High,,,,8144234673,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2315.0,2315.0
Oscar De La Hoya Animo Charter High,,,,7699834732,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2485.0,2485.0
Animo Ellen Ochoa Charter Middle,,,,8644073310,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2535.0,2535.0
Oscar De La Hoya Animo Charter High,,,,7364051471,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2536.0,2536.0
Animo Ellen Ochoa Charter Middle,,,,6335186905,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2481.0,2481.0
Animo Ellen Ochoa Charter Middle,,,,8644073310,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2700.0,2700.0
Oscar De La Hoya Animo Charter High,,,,4186486260,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2452.0,2452.0
Oscar De La Hoya Animo Charter High,,,,9448919245,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2414.0,2414.0
Oscar De La Hoya Animo Charter High,,,,4286729608,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2400.0,2400.0
Animo Ellen Ochoa Charter Middle,,,,2015841071,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2426.0,2426.0
Oscar De La Hoya Animo Charter High,,,,6647025802,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2698.0,2698.0
Animo Ellen Ochoa Charter Middle,,,,1671847716,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2469.0,2469.0
Oscar De La Hoya Animo Charter High,,,,5564849275,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2519.0,2519.0
Oscar De La Hoya Animo Charter High,,,,1964121401,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2460.0,2460.0
Oscar De La Hoya Animo Charter High,,,,1327092344,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2466.0,2466.0
Oscar De La Hoya Animo Charter High,,,,2401147607,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2566.0,2566.0
Oscar De La Hoya Animo Charter High,,,,1964121401,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2579.0,2579.0
Animo Ellen Ochoa Charter Middle,,,,3680068443,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2470.0,2470.0
Oscar De La Hoya Animo Charter High,,,,9128157028,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2512.0,2512.0
Oscar De La Hoya Animo Charter High,,,,1081709144,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2583.0,2583.0
Oscar De La Hoya Animo Charter High,,,,9358414334,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2416.0,2416.0
Oscar De La Hoya Animo Charter High,,,,3580535114,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2624.0,2624.0
Oscar De La Hoya Animo Charter High,,,,6108655375,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2636.0,2636.0
Oscar De La Hoya Animo Charter High,,,,4380255483,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2468.0,2468.0
Oscar De La Hoya Animo Charter High,,,,4024647898,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2634.0,2634.0
Oscar De La Hoya Animo Charter High,,,,4380255483,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2706.0,2706.0
Oscar De La Hoya Animo Charter High,,,,2401147607,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2418.0,2418.0
Oscar De La Hoya Animo Charter High,,,,7568536151,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2463.0,2463.0
Oscar De La Hoya Animo Charter High,,,,9733947761,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2429.0,2429.0
Oscar De La Hoya Animo Charter High,,,,4286729608,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2522.0,2522.0
Oscar De La Hoya Animo Charter High,,,,5919244571,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2360.0,2360.0
Animo Ellen Ochoa Charter Middle,,,,2015841071,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,,
Animo Ellen Ochoa Charter Middle,,,,3277265488,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2477.0,2477.0
Animo Ellen Ochoa Charter Middle,,,,5105338896,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2388.0,2388.0
Animo Ellen Ochoa Charter Middle,,,,1671847716,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2503.0,2503.0
Animo Ellen Ochoa Charter Middle,,,,3415643998,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2560.0,2560.0
Oscar De La Hoya Animo Charter High,,,,1930980565,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2588.0,2588.0
Oscar De La Hoya Animo Charter High,,,,4929469931,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2577.0,2577.0
Animo Ellen Ochoa Charter Middle,,,,8501811660,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2529.0,2529.0
Oscar De La Hoya Animo Charter High,,,,1327092344,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2280.0,2280.0
Oscar De La Hoya Animo Charter High,,,,1334663278,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2522.0,2522.0
Animo Ellen Ochoa Charter Middle,,,,8501811660,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2516.0,2516.0
Oscar De La Hoya Animo Charter High,,,,7148449405,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2404.0,2404.0
Oscar De La Hoya Animo Charter High,,,,6964317911,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2549.0,2549.0
Animo Ellen Ochoa Charter Middle,,,,3415643998,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2606.0,2606.0
Oscar De La Hoya Animo Charter High,,,,1081709144,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2488.0,2488.0
Oscar De La Hoya Animo Charter High,,,,8469231704,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2490.0,2490.0
Oscar De La Hoya Animo Charter High,,,,9660210298,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2512.0,2512.0
Oscar De La Hoya Animo Charter High,,,,1597627528,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2600.0,2600.0
Oscar De La Hoya Animo Charter High,,,,5682412260,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2618.0,2618.0
Oscar De La Hoya Animo Charter High,,,,9185138010,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2441.0,2441.0
Oscar De La Hoya Animo Charter High,,,,3580535114,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2520.0,2520.0
Oscar De La Hoya Animo Charter High,,,,4571094238,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2608.0,2608.0
Oscar De La Hoya Animo Charter High,,,,5682412260,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2592.0,2592.0
Oscar De La Hoya Animo Charter High,,,,5614806960,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2759.0,2759.0
Oscar De La Hoya Animo Charter High,,,,5614806960,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2683.0,2683.0
Animo Ellen Ochoa Charter Middle,,,,6203890901,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2375.0,2375.0
Oscar De La Hoya Animo Charter High,,,,2467097201,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2440.0,2440.0
Oscar De La Hoya Animo Charter High,,,,4929469931,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2329.0,2329.0
Oscar De La Hoya Animo Charter High,,,,5108905304,2024-02-29,SBAC,,Math,Math- Overall,11,SBAC-Math Overall,,Grade 11 Math Summative,2429.0,2429.0
Animo Ellen Ochoa Charter Middle,,,,5105338896,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2438.0,2438.0
Animo Ellen Ochoa Charter Middle,,,,2403780467,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2448.0,2448.0
Animo Ellen Ochoa Charter Middle,,,,8079076855,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2517.0,2517.0
Oscar De La Hoya Animo Charter High,,,,2664153810,2024-02-29,SBAC,,ELA,ELA- Overall,11,SBAC-ELA Overall,,Grade 11 ELA Summative,2580.0,2580.0
Animo Ellen Ochoa Charter Middle,,,,8312014889,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2357.0,2357.0
Animo Ellen Ochoa Charter Middle,,,,4225908655,2024-02-29,SBAC,,Math,Math- Overall,8,SBAC-Math Overall,,Grade 8 Math Summative,2346.0,2346.0
Animo Ellen Ochoa Charter Middle,,,,3277265488,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2521.0,2521.0
Animo Ellen Ochoa Charter Middle,,,,8079076855,2024-02-29,SBAC,,ELA,ELA- Overall,8,SBAC-ELA Overall,,Grade 8 ELA Summative,2529.0,2529.0
